,Year,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
0,2011, Alpine,278,2303.6
1,2011, Ararat,802,7081.1
2,2011, Ballarat,8179,8592.7
3,2011, Banyule,5603,4555.9
4,2011, Bass Coast,1601,5295.5
5,2011, Baw Baw,1732,3991.8
6,2011, Bayside,3004,3125.3
7,2011, Benalla,760,5500.1
8,2011, Boroondara,5265,3151.5
9,2011, Brimbank,14296,7465.4
10,2011, Buloke,221,3418.4
11,2011, Campaspe,1895,5141.8
12,2011, Cardinia,3346,4412.4
13,2011, Casey,10944,4188.6
14,2011, Central Goldfields,677,5382.0
15,2011, Colac-Otway,1090,5240.6
16,2011, Corangamite,522,3158.7
17,2011, Darebin,9583,6704.1
18,2011, East Gippsland,2499,5835.2
19,2011, Frankston,9245,7092.4
20,2011, Gannawarra,444,4247.6
21,2011, Glen Eira,4402,3209.6
22,2011, Glenelg,1235,6222.3
23,2011, Golden Plains,296,1561.3
24,2011, Greater Bendigo,5049,4950.2
25,2011, Greater Dandenong,11002,7738.8
26,2011, Greater Geelong,12494,5788.6
27,2011, Greater Shepparton,5002,8101.2
28,2011, Hepburn,503,3438.4
29,2011, Hindmarsh,172,2937.2
30,2011, Hobsons Bay,4743,5427.1
31,2011, Horsham,1231,6305.4
32,2011, Hume,11012,6318.2
33,2011, Indigo,370,2415.6
34,2011, Kingston,6709,4523.8
35,2011, Knox,5973,3862.9
36,2011, Latrobe,6785,9195.3
37,2011, Loddon,331,4386.4
38,2011, Macedon Ranges,1167,2721.4
39,2011, Manningham,2804,2401.7
40,2011, Mansfield,249,3135.2
41,2011, Maribyrnong,6981,9288.9
42,2011, Maroondah,4779,4452.9
43,2011, Melbourne,23656,23599.4
44,2011, Melton,6065,5384.3
45,2011, Mildura,4478,8641.1
46,2011, Mitchell,1816,5173.1
47,2011, Moira,1176,4140.0
48,2011, Monash,6475,3651.1
49,2011, Moonee Valley,6029,5374.4
50,2011, Moorabool,1094,3815.8
51,2011, Moreland,8895,5766.7
52,2011, Mornington Peninsula,6987,4680.7
53,2011, Mount Alexander,726,4062.2
54,2011, Moyne,441,2727.8
55,2011, Murrindindi,428,3209.6
56,2011, Nillumbik,1458,2324.8
57,2011, Northern Grampians,787,6529.0
58,2011, Port Phillip,8254,8485.1
59,2011, Pyrenees,209,3092.2
60,2011, Queenscliffe,92,3005.6
61,2011, South Gippsland,857,3115.0
62,2011, Southern Grampians,859,5183.8
63,2011, Stonnington,6806,6885.0
64,2011, Strathbogie,347,3615.3
65,2011, Surf Coast,999,3746.3
66,2011, Swan Hill,1333,6388.7
67,2011, Towong,161,2720.5
68,2011, Wangaratta,1690,6210.5
69,2011, Warrnambool,1827,5592.8
70,2011, Wellington,2309,5488.7
71,2011, West Wimmera,100,2332.6
72,2011, Whitehorse,5212,3308.4
73,2011, Whittlesea,8758,5446.5
74,2011, Wodonga,2383,6614.9
75,2011, Wyndham,9639,5782.3
76,2011, Yarra,8718,11049.0
77,2011, Yarra Ranges,4782,3211.5
78,2011, Yarriambiack,285,3967.7
79,2012, Alpine,318,2610.2
80,2012, Ararat,934,8193.0
81,2012, Ballarat,8179,8455.7
82,2012, Banyule,5815,4705.3
83,2012, Bass Coast,1848,5997.9
84,2012, Baw Baw,2133,4792.6
85,2012, Bayside,3504,3613.5
86,2012, Benalla,728,5256.7
87,2012, Boroondara,5918,3512.5
88,2012, Brimbank,15481,7989.2
89,2012, Buloke,236,3668.0
90,2012, Campaspe,2233,6028.5
91,2012, Cardinia,3819,4748.7
92,2012, Casey,11799,4382.3
93,2012, Central Goldfields,771,6064.2
94,2012, Colac-Otway,1183,5659.7
95,2012, Corangamite,543,3296.9
96,2012, Darebin,9672,6671.0
97,2012, East Gippsland,2667,6155.2
98,2012, Frankston,10538,7971.6
99,2012, Gannawarra,423,4029.3
100,2012, Glen Eira,4619,3320.3
101,2012, Glenelg,1093,5513.2
102,2012, Golden Plains,376,1918.0
103,2012, Greater Bendigo,5648,5435.7
104,2012, Greater Dandenong,11782,8119.0
105,2012, Greater Geelong,13449,6136.8
106,2012, Greater Shepparton,4824,7710.8
107,2012, Hepburn,555,3743.7
108,2012, Hindmarsh,199,3397.6
109,2012, Hobsons Bay,5850,6622.2
110,2012, Horsham,1416,7221.5
111,2012, Hume,11988,6689.7
112,2012, Indigo,383,2478.3
113,2012, Kingston,7481,4972.9
114,2012, Knox,6852,4409.1
115,2012, Latrobe,7456,10075.1
116,2012, Loddon,333,4422.9
117,2012, Macedon Ranges,1319,3011.8
118,2012, Manningham,2924,2489.8
119,2012, Mansfield,254,3137.0
120,2012, Maribyrnong,7475,9685.3
121,2012, Maroondah,5219,4813.1
122,2012, Melbourne,24746,23002.8
123,2012, Melton,6926,5853.2
124,2012, Mildura,4595,8756.6
125,2012, Mitchell,1961,5389.7
126,2012, Moira,1058,3689.6
127,2012, Monash,6526,3619.3
128,2012, Moonee Valley,6962,6124.6
129,2012, Moorabool,1352,4604.4
130,2012, Moreland,9813,6251.6
131,2012, Mornington Peninsula,7355,4848.4
132,2012, Mount Alexander,634,3511.9
133,2012, Moyne,537,3293.7
134,2012, Murrindindi,457,3396.3
135,2012, Nillumbik,1454,2310.3
136,2012, Northern Grampians,654,5463.7
137,2012, Port Phillip,8837,8846.5
138,2012, Pyrenees,248,3615.2
139,2012, Queenscliffe,111,3631.0
140,2012, South Gippsland,935,3348.1
141,2012, Southern Grampians,800,4860.0
142,2012, Stonnington,7291,7189.6
143,2012, Strathbogie,379,3889.6
144,2012, Surf Coast,1175,4268.1
145,2012, Swan Hill,1381,6585.3
146,2012, Towong,196,3299.7
147,2012, Wangaratta,1737,6330.6
148,2012, Warrnambool,1827,5526.5
149,2012, Wellington,2862,6742.8
150,2012, West Wimmera,133,3156.1
151,2012, Whitehorse,5583,3496.8
152,2012, Whittlesea,9849,5793.8
153,2012, Wodonga,2603,7081.5
154,2012, Wyndham,11066,6177.6
155,2012, Yarra,9199,11319.3
156,2012, Yarra Ranges,5216,3480.5
157,2012, Yarriambiack,274,3861.9
158,2013, Alpine,363,2955.3
159,2013, Ararat,874,7606.6
160,2013, Ballarat,8108,8244.5
161,2013, Banyule,6430,5172.4
162,2013, Bass Coast,1970,6287.7
163,2013, Baw Baw,2215,4854.6
164,2013, Bayside,3489,3551.1
165,2013, Benalla,854,6153.6
166,2013, Boroondara,5965,3498.8
167,2013, Brimbank,15273,7785.6
168,2013, Buloke,187,2927.4
169,2013, Campaspe,2100,5643.2
170,2013, Cardinia,4344,5135.3
171,2013, Casey,12056,4336.3
172,2013, Central Goldfields,811,6328.5
173,2013, Colac-Otway,1021,4853.8
174,2013, Corangamite,456,2778.8
175,2013, Darebin,10018,6802.4
176,2013, East Gippsland,3071,7010.0
177,2013, Frankston,10782,8025.2
178,2013, Gannawarra,413,3923.6
179,2013, Glen Eira,4735,3352.0
180,2013, Glenelg,1184,5980.7
181,2013, Golden Plains,402,1974.3
182,2013, Greater Bendigo,6053,5712.7
183,2013, Greater Dandenong,12486,8408.0
184,2013, Greater Geelong,13553,6067.9
185,2013, Greater Shepparton,5116,8089.3
186,2013, Hepburn,524,3488.2
187,2013, Hindmarsh,184,3144.2
188,2013, Hobsons Bay,5446,6106.2
189,2013, Horsham,1347,6839.6
190,2013, Hume,12030,6507.2
191,2013, Indigo,355,2274.9
192,2013, Kingston,7329,4811.1
193,2013, Knox,6923,4428.0
194,2013, Latrobe,7618,10277.4
195,2013, Loddon,264,3511.6
196,2013, Macedon Ranges,1389,3114.7
197,2013, Manningham,3112,2629.3
198,2013, Mansfield,293,3540.4
199,2013, Maribyrnong,6956,8718.8
200,2013, Maroondah,5497,5007.2
201,2013, Melbourne,24624,20742.8
202,2013, Melton,6828,5509.3
203,2013, Mildura,4535,8531.5
204,2013, Mitchell,1991,5268.9
205,2013, Moira,1177,4072.0
206,2013, Monash,6825,3724.3
207,2013, Moonee Valley,6248,5411.2
208,2013, Moorabool,1502,4939.2
209,2013, Moreland,9243,5766.7
210,2013, Mornington Peninsula,7518,4881.8
211,2013, Mount Alexander,624,3419.7
212,2013, Moyne,435,2647.4
213,2013, Murrindindi,535,3944.6
214,2013, Nillumbik,1600,2532.7
215,2013, Northern Grampians,683,5749.2
216,2013, Port Phillip,8779,8593.7
217,2013, Pyrenees,316,4554.6
218,2013, Queenscliffe,73,2431.7
219,2013, South Gippsland,895,3165.6
220,2013, Southern Grampians,883,5399.0
221,2013, Stonnington,7443,7192.2
222,2013, Strathbogie,373,3780.3
223,2013, Surf Coast,983,3482.4
224,2013, Swan Hill,1437,6841.9
225,2013, Towong,213,3573.2
226,2013, Wangaratta,1679,6072.3
227,2013, Warrnambool,1910,5714.6
