Year,LGA,index,Count,Median House Price
2011,Alpine,15326,5,120
2011,Ararat,15330,0,0
2011,Ballarat,15334,285,578
2011,Banyule,15338,393,1030
2011,Bass Coast,15342,28,1180
2011,Baw Baw,15346,43,608
2011,Bayside,15350,171,1300
2011,Benalla,15354,43,540
2011,Boroondara,15358,1473,1104
2011,Brimbank,15362,219,798
2011,Buloke,15366,0,0
2011,Campaspe,15370,56,521
2011,Cardinia,15374,6,200
2011,Casey,15378,52,846
2011,Central Goldfields,15382,5,125
2011,Colac-Otway,15386,42,648
2011,Corangamite,15390,11,280
2011,Darebin,15394,1034,1015
2011,East Gippsland,15398,44,615
2011,Frankston,15402,215,765
2011,Gannawarra,15406,5,140
2011,Glen Eira,15410,1679,1050
2011,Glenelg,15414,34,535
2011,Golden Plains,15418,0,0
2011,Greater Bendigo,15422,117,610
2011,Greater Dandenong,15426,394,820
2011,Greater Geelong,15430,617,720
2011,Greater Shepparton,15434,111,540
2011,Hepburn,15438,6,190
2011,Hindmarsh,15442,15,195
2011,Hobsons Bay,15446,165,910
2011,Horsham,15450,41,641
2011,Hume,15454,53,826
2011,Indigo,15458,0,0
2011,Kingston,15462,370,1000
2011,Knox,15466,70,815
2011,Latrobe,15470,212,470
2011,Loddon,15474,0,0
2011,Macedon Ranges,15478,8,160
2011,Manningham,15482,90,1086
2011,Mansfield,15486,0,0
2011,Maribyrnong,15490,693,878
2011,Maroondah,15494,108,868
2011,Melbourne,15498,7029,1445
2011,Melton,15502,41,1151
2011,Mildura,15506,115,532
2011,Mitchell,15510,10,135
2011,Moira,15514,41,458
2011,Monash,15518,340,1110
2011,Moonee Valley,15522,608,1032
2011,Moorabool,15526,14,335
2011,Moreland,15530,1230,1045
2011,Mornington Penin'a,15534,71,888
2011,Mount Alexander,15538,0,0
2011,Moyne,15542,0,0
2011,Murrindindi,15546,0,0
2011,Nillumbik,15550,20,690
2011,Northern Grampians,15554,16,305
2011,Port Phillip,15558,2829,1325
2011,Pyrenees,15562,0,0
2011,Queenscliffe,15566,0,0
2011,South Gippsland,15570,27,416
2011,Southern Grampians,15574,28,515
2011,Stonnington,15578,2852,1250
2011,Strathbogie,15582,0,0
2011,Surf Coast,15586,33,855
2011,Swan Hill,15590,72,480
2011,Towong,15594,0,0
2011,Wangaratta,15598,51,540
2011,Warrnambool,15602,78,581
2011,Wellington,15606,89,565
2011,West Wimmera,15610,0,0
2011,Whitehorse,15614,634,923
2011,Whittlesea,15618,57,1005
2011,Wodonga,15622,59,580
2011,Wyndham,15626,42,858
2011,Yarra,15630,1417,1252
2011,Yarra Ranges,15634,116,800
2011,Yarriambiack,15638,6,105
2012,Alpine,16590,5,145
2012,Ararat,16594,5,124
2012,Ballarat,16598,335,610
2012,Banyule,16602,414,1010
2012,Bass Coast,16606,31,631
2012,Baw Baw,16610,29,615
2012,Bayside,16614,166,1298
2012,Benalla,16618,43,568
2012,Boroondara,16622,1543,1152
2012,Brimbank,16626,224,800
2012,Buloke,16630,0,0
2012,Campaspe,16634,38,540
2012,Cardinia,16638,17,624
2012,Casey,16642,46,878
2012,Central Goldfields,16646,5,125
2012,Colac-Otway,16650,35,690
2012,Corangamite,16654,0,0
2012,Darebin,16658,1192,1050
2012,East Gippsland,16662,47,591
2012,Frankston,16666,195,757
2012,Gannawarra,16670,0,0
2012,Glen Eira,16674,1719,1060
2012,Glenelg,16678,26,415
2012,Golden Plains,16682,0,0
2012,Greater Bendigo,16686,149,645
2012,Greater Dandenong,16690,459,840
2012,Greater Geelong,16694,610,760
2012,Greater Shepparton,16698,125,553
2012,Hepburn,16702,13,392
2012,Hindmarsh,16706,6,120
2012,Hobsons Bay,16710,181,965
2012,Horsham,16714,35,578
2012,Hume,16718,64,865
2012,Indigo,16722,5,150
2012,Kingston,16726,467,1023
2012,Knox,16730,103,853
2012,Latrobe,16734,215,478
2012,Loddon,16738,0,0
2012,Macedon Ranges,16742,19,605
2012,Manningham,16746,131,1370
2012,Mansfield,16750,0,0
2012,Maribyrnong,16754,672,900
2012,Maroondah,16758,89,913
2012,Melbourne,16762,7905,1430
2012,Melton,16766,47,1130
2012,Mildura,16770,94,515
2012,Mitchell,16774,15,286
2012,Moira,16778,44,465
2012,Monash,16782,383,1010
2012,Moonee Valley,16786,665,1050
2012,Moorabool,16790,17,360
2012,Moreland,16794,1136,1064
2012,Mornington Penin'a,16798,89,881
2012,Mount Alexander,16802,5,220
2012,Moyne,16806,0,0
2012,Murrindindi,16810,0,0
2012,Nillumbik,16814,13,320
2012,Northern Grampians,16818,22,318
2012,Port Phillip,16822,2959,1330
2012,Pyrenees,16826,0,0
2012,Queenscliffe,16830,0,0
2012,South Gippsland,16834,28,615
2012,Southern Grampians,16838,26,550
2012,Stonnington,16842,3304,1280
2012,Strathbogie,16846,11,305
2012,Surf Coast,16850,20,700
2012,Swan Hill,16854,66,498
2012,Towong,16858,0,0
2012,Wangaratta,16862,61,568
2012,Warrnambool,16866,82,660
2012,Wellington,16870,93,560
2012,West Wimmera,16874,0,0
2012,Whitehorse,16878,633,942
2012,Whittlesea,16882,65,1015
2012,Wodonga,16886,60,614
2012,Wyndham,16890,41,872
2012,Yarra,16894,1706,1320
2012,Yarra Ranges,16898,139,826
2012,Yarriambiack,16902,0,0
2013,Alpine,17854,12,285
2013,Ararat,17858,5,140
2013,Ballarat,17862,312,636
2013,Banyule,17866,401,1025
2013,Bass Coast,17870,18,685
2013,Baw Baw,17874,26,485
2013,Bayside,17878,194,1293
2013,Benalla,17882,33,568
2013,Boroondara,17886,1680,1161
2013,Brimbank,17890,230,818
2013,Buloke,17894,0,0
2013,Campaspe,17898,57,506
2013,Cardinia,17902,7,230
2013,Casey,17906,61,890
2013,Central Goldfields,17910,0,0
2013,Colac-Otway,17914,31,675
2013,Corangamite,17918,5,120
2013,Darebin,17922,1276,1070
2013,East Gippsland,17926,46,626
2013,Frankston,17930,258,813
2013,Gannawarra,17934,5,120
2013,Glen Eira,17938,1876,1070
2013,Glenelg,17942,21,433
2013,Golden Plains,17946,0,0
2013,Greater Bendigo,17950,141,654
2013,Greater Dandenong,17954,465,840
2013,Greater Geelong,17958,673,780
2013,Greater Shepparton,17962,119,560
2013,Hepburn,17966,0,0
2013,Hindmarsh,17970,12,155
2013,Hobsons Bay,17974,205,988
2013,Horsham,17978,38,637
2013,Hume,17982,100,843
2013,Indigo,17986,0,0
2013,Kingston,17990,508,1050
2013,Knox,17994,64,963
2013,Latrobe,17998,212,483
2013,Loddon,18002,0,0
2013,Macedon Ranges,18006,19,590
2013,Manningham,18010,118,1330
2013,Mansfield,18014,0,0
2013,Maribyrnong,18018,842,949
2013,Maroondah,18022,85,995
2013,Melbourne,18026,8961,1460
2013,Melton,18030,25,878
2013,Mildura,18034,90,566
2013,Mitchell,18038,20,458
2013,Moira,18042,67,465
2013,Monash,18046,537,1023
2013,Moonee Valley,18050,753,1050
2013,Moorabool,18054,5,175
2013,Moreland,18058,1417,1100
2013,Mornington Penin'a,18062,86,844
2013,Mount Alexander,18066,0,0
2013,Moyne,18070,0,0
2013,Murrindindi,18074,0,0
2013,Nillumbik,18078,8,220
2013,Northern Grampians,18082,17,355
2013,Port Phillip,18086,3364,1349
2013,Pyrenees,18090,0,0
2013,Queenscliffe,18094,0,0
2013,South Gippsland,18098,23,485
2013,Southern Grampians,18102,34,560
2013,Stonnington,18106,3769,1290
2013,Strathbogie,18110,18,470
2013,Surf Coast,18114,23,685
2013,Swan Hill,18118,76,518
2013,Towong,18122,0,0
2013,Wangaratta,18126,83,560
2013,Warrnambool,18130,84,660
2013,Wellington,18134,86,591
2013,West Wimmera,18138,0,0
2013,Whitehorse,18142,767,990
2013,Whittlesea,18146,97,1075
2013,Wodonga,18150,59,670
2013,Wyndham,18154,44,835
2013,Yarra,18158,1787,1355
2013,Yarra Ranges,18162,127,870
2013,Yarriambiack,18166,0,0
2014,Alpine,19118,10,310
2014,Ararat,19122,0,0
2014,Ballarat,19126,318,630
